Verification log – 2026-05-29 05:07:46 UTC
Execution time: 42.9s
Total proxies tested: 225
Working proxies found: 72
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
------------------------------------------------------------
2026-05-29T05:07:41.907601  73377727,776.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:41.908533  172.65.234.91:9443             OK     0.018s   eu
2026-05-29T05:07:41.913488  172.65.38.26:9443              OK     0.018s   eu
2026-05-29T05:07:41.923437  Team.hafthashtgswreqetdgsrwrpi-esoiiisolfnwfsksjvwu-urishklfduiwoehv.info.:6773 FAIL   -        eu
2026-05-29T05:07:41.937971  ader.dynoporo.com:443          FAIL   -        eu
2026-05-29T05:07:41.946421  otklyuchi-vpn.nolags.pw:443    FAIL   -        eu
2026-05-29T05:07:41.946565  737727,776.ir.fulle7.info:8443 FAIL   -        eu
2026-05-29T05:07:41.976177  5.78.133.252:8443              OK     0.029s   eu
2026-05-29T05:07:42.012387  87.248.129.130:15              OK     0.125s   eu
2026-05-29T05:07:42.012634  87.248.129.212:25565           OK     0.125s   eu
2026-05-29T05:07:42.012650  2.26.146.71:8080               OK     0.119s   eu
2026-05-29T05:07:42.017224  37.49.226.110:15               OK     0.127s   eu
2026-05-29T05:07:42.017426  186.246.21.89:443              OK     0.125s   eu
2026-05-29T05:07:42.017633  176.65.128.238:8443            OK     0.126s   eu
2026-05-29T05:07:42.019191  87.248.129.200:25565           FAIL   -        eu
2026-05-29T05:07:42.023251  Fuck-War.harcibasheokeye.ir:110 FAIL   -        eu
2026-05-29T05:07:42.024463  178.105.239.80:7443            OK     0.135s   eu
2026-05-29T05:07:42.025108  87.248.129.210:4455            OK     0.124s   eu
2026-05-29T05:07:42.025587  87.248.129.239:25565           OK     0.13s    eu
2026-05-29T05:07:42.025947  87.248.129.205:25565           OK     0.126s   eu
2026-05-29T05:07:42.026955  87.248.129.240:25565           OK     0.129s   eu
2026-05-29T05:07:42.027127  195.254.165.23:8443            OK     0.125s   eu
2026-05-29T05:07:42.027697  87.248.129.210:4455            OK     0.126s   eu
2026-05-29T05:07:42.027929  87.248.129.129:15              OK     0.126s   eu
2026-05-29T05:07:42.028442  195.254.165.4:8443             OK     0.124s   eu
